SOA,s1,s2,x1,y2,target present,RT,response
196,n2,n3,-200,-200,2,483.6,2
430,n2,t1,-200,200,1,801.1,2
430,n2,t1,200,200,1,502.9,2
590,n3,t1,200,-200,1,765.2,1,263.1,2
590,n3,t1,200,-200,1,765.2,1,263.1,2
-900,t1,n3,200,200,1,153.7,2
-430,t1,n2,200,-200,1,1615.9,1
-590,n3,n1,200,200,2,0,3
